iter	Passed	Remaining
180	267	1209
181	268	1207
182	269	1204
183	270	1200
184	271	1197
185	273	1197
186	275	1197
187	277	1199
188	279	1199
189	281	1198
190	282	1196
191	283	1194
192	284	1191
193	285	1188
194	287	1185
195	289	1187
196	291	1188
197	293	1188
198	294	1187
199	296	1184
200	297	1181
201	298	1178
202	299	1175
203	300	1172
204	301	1170
205	303	1170
206	305	1169
207	307	1169
208	308	1169
209	310	1167
210	311	1165
211	313	1163
212	314	1161
213	315	1158
214	316	1156
215	318	1156
216	320	1155
217	322	1158
218	324	1157
219	325	1154
220	327	1152
221	328	1149
222	329	1147
223	330	1145
224	331	1142
225	333	1141
226	334	1138
227	335	1136
228	337	1137
229	339	1136
230	341	1135
231	342	1134
232	343	1132
233	345	1129
234	346	1127
235	347	1124
236	349	1124
237	350	1122
238	352	1121
239	353	1120
240	355	1118
241	356	1116
242	357	1114
243	359	1113
244	360	1111
245	362	1111
246	364	1111
247	366	1111
248	368	1111
249	369	1109
250	371	1107
251	372	1105
252	374	1105
253	375	1103
254	377	1104
255	379	1103
256	381	1102
257	383	1102
258	384	1099
259	385	1097
260	386	1095
261	387	1092
262	389	1090
263	390	1088
264	391	1085
265	393	1085
266	394	1083
267	396	1082
268	398	1082
269	399	1081
270	401	1079
271	402	1077
272	404	1077
273	406	1075
274	407	1075
275	411	1079
276	413	1078
277	414	1077
278	415	1074
279	417	1074
280	418	1071
281	419	1069
282	421	1067
283	422	1065
284	424	1064
285	425	1063
286	427	1062
287	429	1061
288	430	1058
289	431	1056
290	432	1054
291	433	1051
292	434	1049
293	436	1047
294	437	1046
295	439	1045
296	441	1044
297	443	1045
298	445	1043
299	446	1042
300	448	1040
301	449	1038
302	450	1037
303	452	1036
304	453	1034
305	456	1034
306	458	1034
307	459	1032
308	461	1032
309	463	1030
310	464	1028
311	465	1027
312	467	1026
313	469	1025
314	470	1023
315	472	1022
316	474	1021
317	475	1020
318	477	1019
319	479	1018
320	480	1016
321	482	1015
322	483	1014
323	485	1013
324	487	1012
325	488	1010
326	490	1008
327	491	1006
328	492	1005
329	494	1003
330	495	1001
331	497	1001
332	499	1000
333	501	999
334	502	998
335	504	996
336	505	994
337	506	992
338	508	991
339	510	990
340	512	989
341	513	987
342	514	985
343	516	984
344	517	983
345	519	981
346	520	979
347	521	977
348	522	975
349	524	973
350	525	971
351	527	970
352	528	968
353	529	966
354	530	964
355	532	962
356	533	960
357	534	958
358	536	957
359	537	955
360	538	953
361	539	951
362	541	950
363	542	948
364	544	947
365	546	946
366	547	944
367	549	943
368	550	941
369	552	940
370	553	938
371	555	937
372	557	936
373	558	935
374	560	933
375	561	932
376	562	930
377	564	928
378	565	927
379	567	925
380	568	923
381	569	921
382	571	920
383	573	919
384	575	918
385	576	917
386	578	916
387	579	914
388	580	912
389	581	910
390	583	908
391	584	906
392	586	905
393	587	904
394	589	903
395	591	901
396	592	900
397	594	898
398	595	897
399	596	895
400	598	893
401	599	891
402	601	890
403	602	889
404	605	889
405	607	888
406	608	887
407	610	885
408	611	883
409	612	881
410	613	879
411	615	878
412	616	876
413	618	876
414	620	874
415	621	873
416	623	871
417	624	869
418	626	868
419	627	866
420	628	865
421	630	864
422	632	862
423	634	862
424	636	861
425	637	859
426	639	857
427	640	855
428	641	854
429	642	852
430	644	850
431	646	849
432	648	848
433	650	848
434	651	846
435	653	844
436	654	842
437	655	841
438	656	839
439	657	837
440	659	835
441	661	835
442	663	834
443	665	833
444	667	832
445	668	830
446	670	828
447	671	827
448	672	825
449	674	824
450	676	823
451	678	822
452	680	822
453	682	820
454	683	819
455	685	817
456	686	815
457	687	813
458	688	811
459	690	810
460	691	808
461	693	807
462	695	806
463	696	804
464	698	803
465	699	801
466	700	799
467	701	797
468	702	795
469	703	793
470	705	792
471	708	792
472	709	791
473	711	789
474	712	787
475	713	785
476	715	784
477	716	782
478	718	781
479	720	780
480	722	779
481	723	777
482	725	776
483	728	776
484	729	774
485	731	773
486	733	772
487	735	771
488	737	770
489	739	769
490	741	768
491	742	767
492	744	765
493	745	763
494	747	762
495	748	760
496	750	759
497	752	758
498	753	756
499	754	754
500	756	753
501	757	751
502	758	749
503	761	749
504	762	747
505	764	746
506	765	744
507	767	742
508	769	742
509	771	740
510	772	739
511	773	737
512	775	736
513	776	734
514	779	734
515	781	732
516	783	731
517	788	734
518	790	732
519	791	730
520	793	729
521	795	728
522	796	726
523	797	724
524	798	722
525	799	720
526	801	718
527	802	717
528	803	715
529	805	713
530	806	712
531	808	711
532	809	709
533	810	707
534	812	705
535	813	704
536	814	702
537	816	701
538	817	699
539	819	697
540	820	695
541	821	694
542	824	693
543	825	691
544	827	690
545	829	689
546	831	688
547	832	686
548	833	684
549	835	683
550	836	681
551	838	680
552	840	679
553	841	677
554	842	675
555	843	673
556	845	672
557	847	670
558	848	669
559	849	667
560	850	665
561	852	664
562	855	663
563	856	662
564	858	660
565	859	659
566	861	658
567	863	656
568	864	655
569	866	653
570	867	652
571	869	650
572	870	649
573	872	647
574	873	645
575	874	643
576	875	642
577	876	640
578	878	638
579	879	636
580	880	635
581	881	633
582	883	631
583	884	630
584	886	628
585	887	627
586	889	625
587	890	624
588	892	622
589	893	620
590	895	619
591	896	617
592	898	616
593	899	615
594	901	613
595	904	612
596	905	611
597	907	609
598	908	608
599	909	606
600	911	604
601	912	603
602	914	602
603	916	600
604	918	599
605	920	598
606	921	596
607	924	595
608	926	594
609	928	593
610	931	592
611	934	592
612	935	590
613	937	589
614	938	587
615	940	586
616	943	585
617	945	584
618	946	582
619	948	581
620	949	579
621	950	577
622	952	576
623	953	574
624	955	573
625	956	571
626	959	570
627	960	569
628	962	567
629	964	566
630	965	564
631	966	563
632	968	561
633	969	559
634	971	558
635	973	557
636	975	556
637	977	554
638	979	553
639	980	551
640	982	550
641	983	548
642	985	547
643	987	546
644	989	544
645	991	543
646	993	542
647	995	540
648	996	539
649	998	537
650	1000	536
651	1002	535
652	1004	533
653	1007	532
654	1009	531
655	1010	529
656	1011	528
657	1013	526
658	1015	525
659	1017	524
660	1019	522
661	1020	521
662	1022	519
663	1023	518
664	1025	516
665	1026	514
666	1028	513
667	1029	511
668	1031	510
669	1032	508
670	1035	507
671	1036	506
672	1038	504
673	1039	502
674	1040	501
675	1042	499
676	1043	497
677	1045	496
678	1047	495
679	1048	493
680	1050	492
681	1051	490
682	1053	488
683	1054	487
684	1055	485
685	1057	483
686	1059	482
687	1061	481
688	1063	479
689	1065	478
690	1066	476
691	1067	475
692	1069	473
693	1071	472
694	1073	470
695	1075	469
696	1076	468
697	1078	466
698	1079	464
699	1081	463
700	1082	461
701	1084	460
702	1085	458
703	1087	457
704	1089	455
705	1090	454
706	1092	452
707	1094	451
708	1095	449
709	1097	448
710	1098	446
711	1101	445
712	1103	444
713	1106	443
714	1108	441
715	1110	440
716	1111	438
717	1113	437
718	1114	435
719	1116	434
720	1118	432
721	1120	431
722	1121	429
723	1122	428
724	1124	426
725	1125	424
726	1127	423
727	1129	421
728	1130	420
729	1133	419
730	1135	417
731	1138	416
732	1140	415
733	1141	413
734	1143	412
735	1144	410
736	1146	408
737	1148	407
738	1150	406
739	1151	404
740	1153	403
741	1154	401
742	1155	399
743	1157	398
744	1159	396
745	1161	395
746	1162	393
747	1165	392
748	1168	391
749	1170	390
750	1171	388
751	1173	386
752	1174	385
753	1176	383
754	1178	382
755	1180	380
756	1181	379
757	1182	377
758	1184	375
759	1185	374
760	1186	372
761	1187	370
762	1188	369
763	1190	367
764	1192	366
765	1193	364
766	1195	363
767	1197	361
768	1199	360
769	1200	358
770	1202	357
771	1203	355
772	1205	353
773	1207	352
774	1208	350
775	1210	349
776	1212	348
777	1213	346
778	1215	344
779	1217	343
780	1218	341
781	1227	342
782	1228	340
783	1230	338
784	1231	337
785	1233	335
786	1234	334
787	1235	332
788	1237	330
789	1238	329
790	1240	327
791	1241	326
792	1242	324
793	1244	322
794	1246	321
795	1247	319
796	1248	318
797	1250	316
798	1251	314
799	1253	313
800	1255	311
801	1257	310
802	1258	308
803	1259	307
804	1261	305
805	1262	303
806	1263	302
807	1265	300
808	1267	299
809	1269	297
810	1271	296
811	1272	294
812	1273	292
813	1274	291
814	1276	289
815	1277	288
816	1279	286
817	1280	284
818	1281	283
819	1283	281
820	1285	280
821	1286	278
822	1287	276
823	1289	275
824	1290	273
825	1291	272
826	1292	270
827	1293	268
828	1294	267
829	1295	265
830	1297	263
831	1299	262
832	1300	260
833	1301	259
834	1303	257
835	1304	255
836	1305	254
837	1306	252
838	1307	250
839	1309	249
840	1310	247
841	1312	246
842	1314	244
843	1316	243
844	1319	242
845	1320	240
846	1322	238
847	1323	237
848	1325	235
849	1327	234
850	1329	232
851	1330	231
852	1331	229
853	1333	227
854	1334	226
855	1335	224
856	1336	223
857	1337	221
858	1338	219
859	1340	218
860	1342	216
861	1343	215
862	1344	213
863	1345	211
864	1346	210
865	1347	208
866	1349	206
867	1350	205
868	1351	203
869	1352	202
870	1354	200
871	1355	199
872	1357	197
873	1359	195
874	1361	194
875	1363	192
876	1364	191
877	1365	189
878	1366	188
879	1367	186
880	1369	184
881	1370	183
882	1372	181
883	1373	180
884	1374	178
885	1375	177
886	1377	175
887	1378	173
888	1379	172
889	1380	170
890	1381	169
891	1383	167
892	1385	165
893	1386	164
894	1388	162
895	1390	161
896	1392	159
897	1393	158
898	1394	156
899	1395	155
900	1397	153
901	1398	151
902	1399	150
903	1401	148
904	1403	147
905	1404	145
906	1405	144
907	1406	142
908	1408	140
909	1409	139
910	1411	137
911	1412	136
912	1413	134
913	1415	133
914	1417	131
915	1419	130
916	1421	128
917	1422	127
918	1423	125
919	1425	123
920	1426	122
921	1427	120
922	1429	119
923	1431	117
924	1433	116
925	1434	114
926	1435	113
927	1436	111
928	1438	109
929	1439	108
930	1440	106
931	1442	105
932	1443	103
933	1445	102
934	1447	100
935	1448	99
936	1450	97
937	1451	95
938	1453	94
939	1454	92
940	1455	91
941	1456	89
942	1458	88
943	1459	86
944	1461	85
945	1462	83
946	1463	81
947	1465	80
948	1466	78
949	1468	77
950	1469	75
951	1470	74
952	1471	72
953	1472	71
954	1474	69
955	1475	67
956	1477	66
957	1478	64
958	1480	63
959	1482	61
960	1483	60
961	1484	58
962	1486	57
963	1487	55
964	1488	53
965	1491	52
966	1492	50
967	1494	49
968	1495	47
969	1496	46
970	1498	44
971	1499	43
972	1500	41
973	1502	40
974	1503	38
975	1505	37
976	1507	35
977	1509	33
978	1510	32
979	1511	30
980	1513	29
981	1514	27
982	1515	26
983	1516	24
984	1518	23
985	1520	21
986	1522	20
987	1523	18
988	1524	16
989	1526	15
990	1527	13
991	1528	12
992	1529	10
993	1531	9
994	1532	7
995	1534	6
996	1536	4
997	1537	3
998	1539	1
999	1541	0
